GENE_ENTREZ_ID	GENE_SYMBOL
10347	ABCA7
351	APP
9031	BAZ1B
9275	BCL7B
657	BMPR1A
114049	BUD23
25978	CHMP2B
7461	CLIP2
84277	DNAJC30
7458	EIF4H
2006	ELN
4072	EPCAM
22909	FAN1
2259	FGF14
8468	FKBP6
2896	GRN
2969	GTF2I
9569	GTF2IRD1
84163	GTF2IRD2
3845	KRAS
3984	LIMK1
4137	MAPT
155368	METTL27
4292	MLH1
27030	MLH3
51085	MLXIPL
4436	MSH2
2956	MSH6
653361	NCF1
5290	PIK3CA
5378	PMS1
5395	PMS2
5663	PSEN1
5664	PSEN2
5982	RFC2
6224	RPS20
64218	SEMA4A
6653	SORL1
55553	SOX6
51324	SPG21
8878	SQSTM1
6804	STX1A
26608	TBL2
7048	TGFBR2
54664	TMEM106B
339453	TMEM240
135886	TMEM270
10452	TOMM40
54209	TREM2
7415	VCP
155382	VPS37D
